product_id,customer_group,ground_truth_elasticity,naive_elasticity,causal_dml_elasticity,ci_95_range,naive_bias,causal_bias,bias_reduction_pct
P001,budget,-2.4,-0.1597,-7.8715,"[-12.04, -3.70]",2.2403,5.4715,-144.2
P001,enterprise,-0.9,0.8827,-1.379,"[-4.95, 2.19]",1.7827,0.479,73.1
P001,premium,-1.1,0.7634,2.7049,"[-0.82, 6.23]",1.8634,3.8049,-104.2
P001,standard,-1.6,0.4996,0.3753,"[-3.49, 4.24]",2.0996,1.9753,5.9
P002,budget,-2.6,-0.3671,-5.035,"[-10.17, 0.10]",2.2329,2.435,-9.1
P002,enterprise,-1.1,0.6707,-1.2863,"[-7.29, 4.71]",1.7707,0.1863,89.5
P002,premium,-1.3,0.6178,2.5456,"[-4.08, 9.17]",1.9178,3.8456,-100.5
P002,standard,-1.8,0.2993,1.678,"[-2.22, 5.58]",2.0993,3.478,-65.7
P003,budget,-3.0,-0.7717,-3.8353,"[-8.05, 0.38]",2.2283,0.8353,62.5
P003,enterprise,-1.5,0.5459,-0.9295,"[-4.86, 3.00]",2.0459,0.5705,72.1
P003,premium,-1.7,0.3615,-1.8495,"[-4.86, 1.16]",2.0615,0.1495,92.7
P003,standard,-2.2,0.0027,0.3073,"[-3.68, 4.30]",2.2027,2.5073,-13.8
P004,budget,-2.0,0.1312,-0.3659,"[-5.53, 4.80]",2.1312,1.6341,23.3
P004,enterprise,-0.5,1.1118,0.0054,"[-5.16, 5.17]",1.6118,0.5054,68.6
P004,premium,-0.7,1.0448,1.112,"[-3.81, 6.03]",1.7448,1.812,-3.9
P004,standard,-1.2,0.7651,2.5533,"[-1.58, 6.68]",1.9651,3.7533,-91.0
P005,budget,-3.3,-0.9244,-0.6823,"[-4.07, 2.71]",2.3756,2.6177,-10.2
P005,enterprise,-1.8,0.1875,0.2407,"[-2.64, 3.12]",1.9875,2.0407,-2.7
P005,premium,-2.0,0.123,1.296,"[-1.43, 4.03]",2.123,3.296,-55.3
P005,standard,-2.5,-0.2252,-1.842,"[-5.02, 1.33]",2.2748,0.658,71.1
