feature,importance_mean,importance_std
rolling_demand_14d,0.84619,0.01199
sin_day_of_year,0.00356,0.00074
day_of_week,0.00351,0.00031
margin_ratio,0.00238,0.00035
rolling_demand_7d,0.00122,9e-05
quantity_lag_7,0.00107,0.00019
weather_temp,0.0008,0.00026
competitor_price,0.0007,4e-05
quantity_lag_1,0.00049,8e-05
holiday,0.00042,6e-05
price_ratio_competitor,0.00041,0.00011
price_diff_competitor,0.00014,0.00013
quarter,0.0,0.0
is_weekend,0.0,0.0
month,0.0,0.0
cost,-7e-05,1e-05
rolling_price_mean_7d,-0.0001,0.00012
rolling_price_std_7d,-0.0001,3e-05
price_lag_1,-0.00015,1e-05
price_lag_7,-0.0002,4e-05
event,-0.00038,6e-05
cos_day_of_year,-0.00058,2e-05
price_change_1d,-0.00116,0.00013
