item_id,product_id,customer_group,location_id,base_price,recommended_price,price_change_pct,unit_cost,expected_demand,expected_revenue,expected_profit,margin_pct,revenue_lift_pct,profit_lift_pct,status
PROD_001_budget_LOC_URBAN,PROD_001,budget,LOC_URBAN,100.0,115.0,15.0,60.0,58.2,6695.6,3202.24,47.83,3.01,23.16,OPTIMAL
PROD_001_regular_LOC_URBAN,PROD_001,regular,LOC_URBAN,100.0,115.0,15.0,60.0,44.8,5150.46,2463.26,47.83,3.01,23.16,OPTIMAL
PROD_001_premium_LOC_URBAN,PROD_001,premium,LOC_URBAN,100.0,115.0,15.0,60.0,31.4,3605.32,1724.29,47.83,3.01,23.16,OPTIMAL
PROD_001_business_LOC_URBAN,PROD_001,business,LOC_URBAN,100.0,115.0,15.0,60.0,22.4,2575.23,1231.63,47.83,3.01,23.16,OPTIMAL
PROD_001_budget_LOC_SUBURBAN,PROD_001,budget,LOC_SUBURBAN,100.0,115.0,15.0,60.0,58.2,6695.6,3202.24,47.83,3.01,23.16,OPTIMAL
PROD_001_regular_LOC_SUBURBAN,PROD_001,regular,LOC_SUBURBAN,100.0,115.0,15.0,60.0,44.8,5150.46,2463.26,47.83,3.01,23.16,OPTIMAL
PROD_001_premium_LOC_SUBURBAN,PROD_001,premium,LOC_SUBURBAN,100.0,115.0,15.0,60.0,31.4,3605.32,1724.29,47.83,3.01,23.16,OPTIMAL
PROD_001_business_LOC_SUBURBAN,PROD_001,business,LOC_SUBURBAN,100.0,115.0,15.0,60.0,22.4,2575.23,1231.63,47.83,3.01,23.16,OPTIMAL
PROD_001_budget_LOC_RURAL,PROD_001,budget,LOC_RURAL,100.0,115.0,15.0,60.0,58.2,6695.6,3202.24,47.83,3.01,23.16,OPTIMAL
PROD_001_regular_LOC_RURAL,PROD_001,regular,LOC_RURAL,100.0,115.0,15.0,60.0,44.8,5150.46,2463.26,47.83,3.01,23.16,OPTIMAL
PROD_001_premium_LOC_RURAL,PROD_001,premium,LOC_RURAL,100.0,115.0,15.0,60.0,31.4,3605.32,1724.29,47.83,3.01,23.16,OPTIMAL
PROD_001_business_LOC_RURAL,PROD_001,business,LOC_RURAL,100.0,115.0,15.0,60.0,22.4,2575.23,1231.63,47.83,3.01,23.16,OPTIMAL
PROD_001_budget_LOC_ONLINE,PROD_001,budget,LOC_ONLINE,100.0,115.0,15.0,60.0,58.2,6695.6,3202.24,47.83,3.01,23.16,OPTIMAL
PROD_001_regular_LOC_ONLINE,PROD_001,regular,LOC_ONLINE,100.0,115.0,15.0,60.0,44.8,5150.46,2463.26,47.83,3.01,23.16,OPTIMAL
