strategy,price,price_change_pct,expected_demand,expected_revenue,expected_profit,margin_pct,revenue_lift_pct,profit_lift_pct,guardrail_compliant,scenario
Baseline (Current),100.0,0.0,50.0,5000.0,2000.0,40.0,0.0,0.0,True,Baseline
Cost-Plus Markup (30%),78.0,-22.0,60.8,4743.33,1094.61,23.08,-5.13,-45.27,False,Baseline
Naive Observational,104.0,4.0,48.5,5041.77,2133.06,42.31,0.84,6.65,True,Baseline
Causal Unconstrained (Revenue Max),125.0,25.0,41.9,5242.33,2726.01,52.0,4.85,36.3,False,Baseline
Causal Unconstrained (Profit Max),125.0,25.0,41.9,5242.33,2726.01,52.0,4.85,36.3,False,Baseline
Causal Guardrailed (Feasible),115.0,15.0,44.8,5150.44,2463.25,47.83,3.01,23.16,True,Baseline
Baseline (Current),100.0,0.0,47.4,4738.0,1895.2,40.0,0.0,0.0,True,Competitor Price War (-15%)
Cost-Plus Markup (30%),78.0,-22.0,57.6,4494.78,1037.26,23.08,-5.13,-45.27,False,Competitor Price War (-15%)
Naive Observational,104.0,4.0,45.9,4777.58,2021.28,42.31,0.84,6.65,True,Competitor Price War (-15%)
Causal Unconstrained (Revenue Max),125.0,25.0,39.7,4967.63,2583.17,52.0,4.85,36.3,False,Competitor Price War (-15%)
Causal Unconstrained (Profit Max),125.0,25.0,39.7,4967.63,2583.17,52.0,4.85,36.3,False,Competitor Price War (-15%)
Causal Guardrailed (Feasible),115.0,15.0,42.4,4880.55,2334.18,47.83,3.01,23.16,True,Competitor Price War (-15%)
Baseline (Current),100.0,0.0,50.0,5000.0,1400.0,28.0,0.0,0.0,True,Supply Chain Cost Inflation (+20%)
Cost-Plus Markup (30%),93.6,-6.4,52.7,4930.35,1137.77,23.08,-1.39,-18.73,True,Supply Chain Cost Inflation (+20%)
Naive Observational,104.0,4.0,48.5,5041.77,1551.31,30.77,0.84,10.81,True,Supply Chain Cost Inflation (+20%)
Causal Unconstrained (Revenue Max),125.0,25.0,41.9,5242.33,2222.75,42.4,4.85,58.77,False,Supply Chain Cost Inflation (+20%)
Causal Unconstrained (Profit Max),125.0,25.0,41.9,5242.33,2222.75,42.4,4.85,58.77,False,Supply Chain Cost Inflation (+20%)
Causal Guardrailed (Feasible),115.0,15.0,44.8,5150.44,1925.82,37.39,3.01,37.56,True,Supply Chain Cost Inflation (+20%)
Baseline (Current),100.0,0.0,75.0,7500.0,3000.0,40.0,0.0,0.0,True,Holiday Peak Surge (+50% Demand)
Cost-Plus Markup (30%),78.0,-22.0,91.2,7114.99,1641.92,23.08,-5.13,-45.27,False,Holiday Peak Surge (+50% Demand)
Naive Observational,104.0,4.0,72.7,7562.65,3199.58,42.31,0.84,6.65,True,Holiday Peak Surge (+50% Demand)
Causal Unconstrained (Revenue Max),125.0,25.0,62.9,7863.5,4089.02,52.0,4.85,36.3,False,Holiday Peak Surge (+50% Demand)
Causal Unconstrained (Profit Max),125.0,25.0,62.9,7863.5,4089.02,52.0,4.85,36.3,False,Holiday Peak Surge (+50% Demand)
Causal Guardrailed (Feasible),115.0,15.0,67.2,7725.65,3694.88,47.83,3.01,23.16,True,Holiday Peak Surge (+50% Demand)
Baseline (Current),100.0,0.0,50.0,5000.0,2000.0,40.0,0.0,0.0,True,High Sensitivity Spike
Cost-Plus Markup (30%),78.0,-22.0,66.3,5174.28,1194.07,23.08,3.49,-40.3,False,High Sensitivity Spike
Naive Observational,104.0,4.0,47.8,4973.03,2103.97,42.31,-0.54,5.2,True,High Sensitivity Spike
Causal Unconstrained (Revenue Max),75.0,-25.0,69.4,5202.34,1040.47,20.0,4.05,-47.98,False,High Sensitivity Spike
Causal Unconstrained (Profit Max),125.0,25.0,38.8,4848.49,2521.21,52.0,-3.03,26.06,False,High Sensitivity Spike
Causal Guardrailed (Feasible),115.0,15.0,42.6,4904.56,2345.66,47.83,-1.91,17.28,True,High Sensitivity Spike
